parameter,count_part1,count_part2,count_part3,count_part4,total_count
ABCIN,0,0,2,0,2
ABS_DMBTR,0,0,2,0,2
ACTFLG,0,2,0,0,2
ACTIVITY,0,2,0,0,2
AENAM,0,0,2,0,2
AMOUNT,0,0,2,0,2
AS4POS,0,2,0,0,2
AS4USER,0,2,0,0,2
ATTYP,0,0,2,0,2
AUSBK,0,0,2,0,2
AWORG,0,0,2,0,2
AWREF,0,0,2,0,2
AWSYS,0,0,2,0,2
AWTYP,0,0,2,0,2
BALANCE_FR,0,0,2,0,2
BALANCE_NORMAL,0,0,2,0,2
BALANCE_NORMAL_FR,0,0,2,0,2
BALANCE_SPEC,0,0,2,0,2
BALANCE_SPEC_FR,0,0,2,0,2
BALANCE_TOTAL,0,0,2,0,2
BALANCE_TOTAL_FR,0,0,2,0,2
BANKL,0,0,2,0,2
BANKS,0,0,2,0,2
BATXT,0,0,2,0,2
BKLAS,0,0,2,0,2
BKTXT,0,0,2,0,2
BLOCK_DESC,0,0,2,0,2
BPUMN,0,0,2,0,2
BPUMZ,0,0,2,0,2
BRGEW,0,0,2,0,2
BSTAR,0,0,2,0,2
BSTAT,0,0,2,0,2
BTCJOBCNT,2,0,0,0,2
BTCJOBNAME,2,0,0,0,2
BUCHK,0,0,2,0,2
BUCHM,0,0,2,0,2
BUCHW,0,0,2,0,2
BUFLVL,0,2,0,0,2
BUFPOS,0,2,0,0,2
BWKEY,0,0,2,0,2
BWTTY,0,0,2,0,2
CLASID,0,2,0,0,2
CMGST,0,0,2,0,2
COMSYS,0,2,0,0,2
CON_NAME,0,2,0,0,2
CVERSFLG,0,2,0,0,2
DBNAME,0,2,0,0,2
DIWZL,0,0,2,0,2
DOCNUM,2,0,0,0,2
DOMNAM,0,2,0,0,2
DSTAT,0,0,2,0,2
DYNPRONR,2,0,0,0,2
EDATU,0,0,2,0,2
EINDT,0,0,2,0,2
EKNAM,0,0,2,0,2
ERNAM_FIRST,0,0,2,0,2
ERNAM_LAST,0,0,2,0,2
ERNAM_TEXT,0,0,2,0,2
ERRORNAME,0,2,0,0,2
ERR_MSG,1,0,1,0,2
EXTERNIND,1,1,0,0,2
EXTMODI,0,2,0,0,2
EXVKW,0,0,2,0,2
FAKSK,0,0,2,0,2
FCODE,2,0,0,0,2
FDGRV,0,0,2,0,2
FILE_SIZE,0,2,0,0,2
FILE_SIZE_KB,0,2,0,0,2
FILE_SIZE_MB,0,2,0,0,2
FIPOS,0,0,2,0,2
FKIVK,0,0,2,0,2
FKIVP,0,0,2,0,2
FKSTA,0,0,2,0,2
FKSTK,0,0,2,0,2
FMSTK,0,0,2,0,2
FRGST,0,0,2,0,2
FRGSX,0,0,2,0,2
FROMNUMBER,1,1,0,0,2
F_NEW,0,0,0,2,2
F_OLD,0,0,0,2,2
GARG,1,1,0,0,2
GCLIENT,1,1,0,0,2
GEWEI,0,0,2,0,2
GIDAT,0,0,2,0,2
GL_ACC_TXT,0,0,2,0,2
GMODE,1,1,0,0,2
GNAME,1,1,0,0,2
GRPID,0,0,2,0,2
GTARG,1,1,0,0,2
GTCODE,1,1,0,0,2
GTHOST,1,1,0,0,2
GUIVERSION,0,2,0,0,2
GUNAME,1,1,0,0,2
GUSR,1,1,0,0,2
HDALL,0,0,2,0,2
HDALS,0,0,2,0,2
HKONT,0,0,2,0,2
HOSTADR,0,2,0,0,2
IBLNR,0,0,2,0,2
IDOCTP,2,0,0,0,2
IMPFLG,0,2,0,0,2
IMPSING,0,2,0,0,2
INTMODI,0,2,0,0,2
INT_MAXRC,0,2,0,0,2
IP_ADDRESS,0,2,0,0,2
JOBID,0,2,0,0,2
JOBS_CNT,1,1,0,0,2
JOB_ID,1,1,0,0,2
KNTTP,0,0,2,0,2
KNUMV,0,0,2,0,2
KOBIS,0,0,2,0,2
KODAT,0,0,2,0,2
KOQUA,0,0,2,0,2
KOQUK,0,0,2,0,2
KOSTA,0,0,2,0,2
KOSTK,0,0,2,0,2
KOVON,0,0,2,0,2
KURSF,0,0,2,0,2
KWART,0,0,2,0,2
KWERT,0,0,2,0,2
KZKRS,0,0,2,0,2
KZWRS,0,0,2,0,2
LAEDA,0,0,2,0,2
LDDAT,0,0,2,0,2
LFART,0,0,2,0,2
LFBNR,0,0,2,0,2
LFGSA,0,0,2,0,2
LFIMG,0,0,2,0,2
LFM1_LOEVM,0,0,2,0,2
LFM1_SPERM,0,0,2,0,2
LFPOS,0,0,2,0,2
LFSTA,0,0,2,0,2
LGMNG,0,0,2,0,2
LOCKFLAG,0,2,0,0,2
LOGSYS,1,0,1,0,2
LSTAT,0,0,2,0,2
LVSTA,0,0,2,0,2
LVSTK,0,0,2,0,2
MASTER,0,2,0,0,2
MAXRC,0,2,0,0,2
MAXROWS,0,1,1,0,2
MAX_RECORDS,2,0,0,0,2
MESTYP,2,0,0,0,2
MONAT,0,0,2,0,2
MONBEW,0,2,0,0,2
MONKAT,0,2,0,0,2
MSG,0,2,0,0,2
MSGTXT,2,0,0,0,2
NBLNR,0,0,2,0,2
NETWR_FR,0,0,2,0,2
NETWR_LIPS,0,0,2,0,2
NETWR_VBAP,0,0,2,0,2
NODATAFLG,0,2,0,0,2
NRLEVEL,1,1,0,0,2
NRRANGENR,1,1,0,0,2
NTGEW,0,0,2,0,2
OBJFUNC,0,2,0,0,2
OBJSNS,2,0,0,0,2
OBJ_NAME,0,2,0,0,2
OWNER,0,2,0,0,2
PACKAGE_INTERVAL,1,1,0,0,2
PARGB,0,0,2,0,2
PARKED_IVNOICE,0,0,2,0,2
PDSTA,0,0,2,0,2
PDSTK,0,0,2,0,2
PERIOD,0,0,2,0,2
PKSTA,0,0,2,0,2
PKSTK,0,0,2,0,2
PLANT_DESC,0,0,2,0,2
PLIFZ,0,0,2,0,2
PODAT,0,0,2,0,2
POSSIBLE_APP,0,0,2,0,2
