parameter,total_hits_guidelines
ABAPSCHEMA,1
ABGRU,1
ABLAD,1
ACALL,1
ACCESS,1
ACCT_GRP,1
ACCT_NUM,1
ACK_STATE,1
ACTUALVAL,1
ADAPT_STAT,1
ADAPT_TP_I,1
ADAPT_TYP,1
ADDRESS,1
ADMINUSER,1
AD_NAMEFIR,1
AD_NAMELAS,1
AENDE,1
AESZN,1
AFNAM,1
AGGKEY,1
AGGLEVEL,1
AGGR_FIELDS,1
AGGR_LEVEL,1
AGGR_PERIOD,3
AGG_LVL,2
AKTIV,1
ALCHDATE,1
ALCHTIME,1
ALCHUSER,1
ALDATE,1
ALIDXINTRE,1
ALLEVINTRE,1
ALMODE,1
ALOCK_D,1
ALOCK_S,1
ALPROG,1
ALSTATE,1
ALTCODE,1
ALTEXT,1
ALTIME,1
ALUSER,1
AMOUNT_MAX,1
ANZAL,1
APPLIC,1
ARCHIVE,1
ARCHIVED,1
ARCKEY,1
ARFCDATUM,1
ARFCDEST,1
ARFCFNAM,1
ARFCIPID,1
ARFCLUWCNT,1
ARFCMSG,1
ARFCPID,1
ARFCRESERV,1
ARFCRETRYS,1
ARFCRETURN,1
ARFCRHOST,1
ARFCSTATE,1
ARFCTCODE,1
ARFCTIDCNT,1
ARFCTIME,1
ARFCUSER,1
ARFCUZEIT,1
AS4TEXT,1
ASCHEMA,1
ATTLEN,1
AUFPL,1
AUTH,1
AUTYP,1
AVAILABLE_DEC,1
AVAILNUMRANGE,1
AVG_DAILY,1
AVG_DAILY_NZ,1
BACKDAYS_CHANGE,1
BACKMONTHS,1
BACKSETID,1
BACKUPPOS,1
BACKUPTYPE,1
BACKUP_DURATION,1
BALANCE,1
BALOGNO,1
BDATJ,1
BEHVO,1
BEKNZ,1
BELNR_EA,1
BELNR_MA,1
BELUM,1
BESKZ,1
BEWARTGRP,1
BISMT,1
BLANZ,1
BLATT,1
BMENG,1
BNBTR,1
BSCHL,1
BSTME,1
BTCI,1
BTCSYSTEM,1
BTC_CNT,1
BTC_DURATION,1
BTC_FREE_CNT,1
BTC_FREE_PRC,1
BTC_INUSE_CNT,1
BTC_INUSE_PRC,1
BTEXT,1
BUALT,1
BUDAT_MKPF,1
BUZUM,1
BVALT,1
BWART,1
BWMOD,1
BWSCL,1
BWVOR,1
BYTES_AVG,1
CALLSTACK_SIZE,1
CAPACITY,1
CCCATEGORY,1
CCCOPYLOCK,1
CCCORACTIV,1
CCIMAILDIS,1
CCNOCASCAD,1
CCNOCLIIND,1
CCORIGCONT,1
CCSOFTLOCK,1
CCTEMPLOCK,1
CFLAG,1
CHANGEDATE,1
CHANGEUSER,1
CHANNEL,1
CHILDCOUNT,1
CIMTYP,1
CLIENT,1
CMFPNR,1
CNT,5
COLOR,1
COMMITACT,1
COMPMONTHS,1
CONNECTION_CNT,1
CONNECTION_ID,1
CONTEXT,1
CONTEXT_SIZE,1
COUNTR,1
COUNT_DAYS,1
CPICTI_AVG,1
CPUDT_MKPF,1
CPUTI_AVG,1
CPUTM,1
CPUTM_MKPF,1
CPU_USAGE,1
CREATOR,1
CREDAT,1
CREDATE,1
CRETIM,1
CRETIME,1
CSPLIT,1
CS_SEC,1
CUAPROGRAM,2
CUDATE,1
CUNAME,1
CURTP,1
CUSGRPNAME,1
DATATYP,1
DATE,4
DATE_MAX,1
DATE_MIN,1
DATE_REF_FIELD,1
DATE_REF_FLD_MD,1
DATE_SEL,2
DATRE,1
DATUM,9
DATVR,1
DBFREE,1
DBFREE_PER,1
DBRELEASE,1
DBSCHEMA,1
DBTI_AVG,1
DBUSER,1
DB_ALLOC,1
DB_NAME,1
DB_SIZE,1
DB_VERS,1
DB_VERSION,1
DC_IND,1
DEFVERSNO,1
DEF_STAT,1
DELET,1
DESCRIPT,1
DESTAPP,1
DESTINATION,1
DESTSYS,1
DETAILED,1
DIA_CNT,1
DIA_DURATION,1
DIA_FREE_CNT,1
DIA_FREE_PRC,1
DIA_INUSE_CNT,1
DIA_INUSE_PRC,1
DIFF_AMOUNT,2
DIMME,1
DIRECT,2
DISCOUNT,1
DISCOUNT_VAL,1
DISST,1
DMBE2,1
DMBE2_AG,1
DMBE3,1
DMBE3_AG,1
DMBTR_AG,1
DOCREL,1
DOCS_CNT,1
DOCTYP,1
DRIVE,1
DSNAM,1
DUMMY,5
DUMPID,1
DUMPS_CNT,2
EAN11,1
EANNR,1
EDIKEY,1
EDITRANS,1
EKALR,1
EKWSL,1
EMPFG,1
END_DATE,1
END_DT,1
END_TM,1
EO_REFID,1
EO_REFID_I,1
EO_REFID_O,1
EO_REFVAL,1
EO_REFVL_I,1
EO_REFVL_O,1
EQUNR,1
ERRCAT,1
ERRCODE,1
ERROR_COMPONENT,1
ERROR_COUNT,1
ERROR_PACKAGE,1
ERR_TYPE,1
ERSDA,1
ERUHR,1
ERZKALK,1
EVENT,1
EXC_RATE_TYPE,1
EXEDATE,1
EXETIME,1
EXETIMEST,1
EXE_DATE,1
EXE_TIME,1
EXPIRY_DATE,1
EXPRSS,1
EXP_DATE,1
EXTNUMBER,1
EXTRELEASE,1
EXTWG,1
FAKWR,1
FERTH,1
FIELD,1
FIELD_FOR_CHECK,1
FILE_DATE,1
FILE_DIR,1
FILE_MASK,1
FILE_NAME,1
FILE_TIME,1
FIRSTVERSN,1
FIRST_TSTMP,1
FISTL,1
FKBER,1
FLD01,1
FLOCK_D,1
FLOCK_S,1
FORFB,1
FORMID,1
FORMT,1
FORNO,1
FORTP,1
FORYR,1
FPLNR,1
FPLTR,1
FREE,1
FREENUMABS,1
FREENUMPERC,1
FREE_GB,1
FREE_MEM,1
FREE_MEM_PRC,1
FREE_PRC,1
FROMDATE,1
FROMNUMBER_DEC,1
FSYSNAME,1
FTP_DATE,1
FTP_DIR,1
FTP_FILE,1
FTP_MASK,1
FTP_TIME,1
FULL,1
GABJA,1
GABPE,1
GBCKTYPE,1
GBISJ,1
GBISP,1
GEBER,1
GENNUM,1
GEN_ENTRY,1
GESMNG,1
GETACTIVE,1
GETBLOCK,1
GETDATE,1
GETPID,1
GETTIME,1
GETTRANS,1
GJAHR,11
GJAHR_CMP,1
GJAHR_TGT,1
GLVOR,1
GOBJ,1
GRBEW,1
GROES,1
GROUP,1
GROUPID,1
GSFRG,1
GTDATE,1
GTMARK,1
GTSYSNR,1
GTTIME,1
GTUSEC,1
GTWP,1
GUICNT,1
GUINETTIME_AVG,1
GUITIME_AVG,1
GUSE,1
GUSETXT,1
GUSEVB,1
GUSEVBT,1
GUSRVB,1
GVTYP,1
HOSTNAME,1
HRKFT,1
HTTP_STATUS,1
IB_NAME,1
IB_NS,1
IB_PARTY,1
IB_PARTY_AGENCY,1
IB_PARTY_TYPE,1
IB_SYSTEM,1
ICF_NODE,1
ICON,1
IDLE_TOTAL,1
IDLE_TRUE,1
IDOC_CNT,1
INITTIMEST,1
INIT_DATE,1
INIT_EXT,1
INIT_TIME,1
INSMK,1
INT_SEC,1
IN_KB_SEC,1
IN_PG_SEC,1
ISSUER,1
ITFACTION,1
JAVASCHEMA,1
JOBCLASS,1
JOBCOUNT,1
KALNR,1
KAPPL,1
KATEGORIE,1
KAWRT,1
KBETR,1
KBMENG,1
KEY10_DS,1
KEY10_V,1
KEYLEN,1
KINAK,1
KJAHR,1
KJAHR_EA,1
KJAHR_MA,1
KMPRS,1
KNA1_CASSD,1
KNA1_LOEVM,1
KNA1_SPERR,1
KNB1_LOEVM,1
KNB1_SPERR,1
KNTYP,1
KOART,1
KORRDEV,1
KORRNUM,1
KSTAT,1
KTEXT,1
KTOKS,1
KTOPL_T001,1
KUNNR_P,1
KZBEW,1
KZBWS,1
KZEAR,1
KZVBR,1
KZWOB,1
KZZUAB,1
KZZUG,1
LAND1_EMPFG,1
LAND1_LFBK,1
LAND1_PAYEE,1
LANDX,1
LANDX_EMPFG,1
LANDX_LFBK,1
LANDX_PAYEE,1
LASTCHDATE,1
LASTCHTIME,1
LASTVERSNO,1
LAST_MSGNR,1
LAST_ONLY,2
LAUFD,1
LAUFI,1
LBKUM_OLD,1
LDEST,1
LEDNR,1
LEFT_DAYS,1
LEFT_DAYS_ESTIMATION,1
LEFT_DAYS_NZ,1
LEFT_DEC,1
LEFT_PER,1
LENGTH,1
LFA1_LOEVM,3
LFA1_SPERM,3
LFA1_SPERR,3
LFB1_LOEVM,3
LFB1_SPERR,3
LIFNR_EMPFG,1
LIFNR_LFBK,1
LINENUMBER,1
LINE_ID,1
LIST_FROM_TABLE,1
LIST_ISSUER,1
LIST_SUBJECT,1
LIST_VALID_FROM,1
LIST_VALID_TO,1
LMENG,1
LNRZA,1
LOAD15_AVG,1
LOAD1_AVG,1
LOAD5_AVG,1
LOADGENTI_AVG,1
LOCAL_DATE,1
LOCAL_TIME,1
LOCATION,1
LOCKS_CNT,1
LOCKTI_AVG,1
LOEVM,1
LOGDAT,1
LOGFREE,1
LOGNUMBER,1
LOGON_CHECK,1
LOGTIM,1
LOG_ALLOC,1
LOG_LEVEL,1
LOG_SIZE,1
LOSGR,1
LSMENG,1
LTSNR,1
LVORM,1
MACHINENAM,1
MAKTX,1
MANAGE_IN_GMT,1
MANDANT,1
MANPAE_S,1
MANPAE_V,1
MANUALSTAT,1
MANUE,1
MARK,1
MAXRC,2
MAXROWS,2
MAXSEGNUM,1
MAX_EXT,1
MAX_RECORDS,2
MBRSH,1
MEGBTR,1
MEIDASETID,1
MEINB,1
MEINH,1
MESCOD,1
MESFCT,1
MIN_EXT,1
MLAST,1
MMSTA,1
MODIF,1
MONAT_CMP,1
MONAT_TGT,1
MSCGLLID,1
MSGCLASS,1
MSGCNT,1
MSGCNTD,1
MSGCNTE,1
MSGCNTF,1
MSGGUID,1
MSGNUMBER,1
MSGSTATE,1
MSGTEXT,1
MSGTP,1
MSGTYPE,1
MSG_CNT_A,1
MSG_CNT_AL,1
MSG_CNT_E,1
MSG_CNT_I,1
MSG_CNT_S,1
MSG_CNT_W,1
MTBEZ,1
MTEXT,1
MTNAMESHRT,1
MUDATE,1
MULTIPLE_FACTOR,1
MUNAME,1
MWAER,1
NACHA,1
NAME,1
NAME1,14
NAME1_EMPFG,1
NAME1_LFBK,1
NAME1_PAYEE,1
NAMESPACE,1
NAUTO,1
NBR_CPU,1
NCOST,1
NETPR,1
NEXT_EXT,1
NODE,1
NONEX_DEV,1
NORMT,1
NPLNR,1
NRLEVEL_DEC,1
OBJAC,1
OBJCP,1
OBJECTID,12
OBJKY,1
OBJLEN,1
OBJNO,1
OBJPRI,1
OBJRN,1
OBJRR,1
OBJTP,1
OBJTYPE,1
OBJYR,1
OB_NAME,1
OB_NS,1
OB_PARTY,1
OB_PARTY_AGENCY,1
OB_PARTY_TYPE,1
OB_SYSTEM,1
OPEN_ORDER_QUAN,1
OPID,1
OPTARCNR,1
ORGWTH,1
ORGWTK,1
ORGWTT,1
ORIGIN,1
ORT01,1
OUTFL,1
OUTMOD,1
OUT_KB_SEC,1
OUT_PG_SEC,1
PAGE,2
PAGES,1
PAOBJNR,1
PARBU,1
PARENTMSG,1
PARENT_ID,1
PARNR,1
PASS,1
PASSCODE,1
PASSWD,1
PASSWORD,1
PAYEE,1
PCT_INCR,1
PEINH_DIFF,1
PEINH_DIFF_PRCT,1
PEINH_MBEW,1
PEINH_NEW,1
PERART,1
PERBZ,1
PERC_VARI,1
PERIO,1
PERIV,1
PGMID,1
PHYS_MEM,1
PHYS_USAGE,1
PID,1
POPER,1
POPR_TYPE,1
POSNR_MULT_FACTOR,1
PO_PREQ_DIFF,1
PRDHOURS,1
PRDMINS,1
PREIS,1
PRIFB,1
PROBCLASS,1
PROCESS,1
PROCSVERS,1
PROCTI_AVG,1
PROGID,1
PROTO,1
PROZS,1
PSART,1
PSPNR,1
PSTAT,1
PTYP,1
PTYP_BVALT,1
PTYP_KAT,1
PTYP_PROC,1
PUTACTIVE,1
PUTBLOCK,1
PUTDATE,1
PUTPID,1
PUTTIME,1
PUTTRANS,1
PVERS,1
PVPRS_DIFF,1
PVPRS_DIFF_PERCT,1
PVPRS_NEW,1
PVPRS_OLD,1
PWDHISTORY,1
PWDINITIAL,1
PWDSTATE,1
QATTRIB,1
QERASE,1
QID,1
QUEUEGUID,1
QUEUEINT,1
QUEUETI_AVG,1
RAUBE,1
RCVLAD,1
RCVPFC,1
RCVSAD,1
RCVSCA,1
RCVSDF,1
RCVSLF,1
RCVSMN,1
RCVSNA,1
RC_NAME,1
RECNO,1
RECORDS,5
RECTP,1
RECYR,1
REFBN,1
REFBT,1
REFGRP,1
REFINT,1
REFMES,1
REF_TO_MSG,1
REF_TO_REC_MSG,1
RELDATE,1
RELS,1
RELTIME,1
RELUNAME,1
REMOTE_ADDRESS,1
REORG,1
REPET,1
REPETITIVE,5
REPET_BACKDAYS,2
REPORT,1
REQUEST_ID,1
REQUEST_SIZE,1
REQUEST_URI,1
RESPONSE_SIZE,1
RESPTI_AVG,1
REST_VERS,1
RETRYCOUNT,1
RETRYCOUNT_MAN,1
RFART,1
RFCSYSTEM,1
RFCTYPE,1
RFKNT,1
RFORG,1
RFPOS,1
RFSYS,1
RFTRM,1
RFTYP,1
RMWWR,1
RND_NUMBER,1
ROLE,1
ROLE_T,1
ROLLINTI_AVG,1
ROLLSTEP,1
ROLLWAITTI_AVG,1
ROOT_CONTEXT_ID,1
ROUTID,1
RQ0NAME,1
RQ1DISPO,1
RQ1NAME,1
RQ2DISPO,1
RQ2NAME,1
RQ3DISPO,1
RQADESL,1
RQAPPRULE,1
RQARCHDEST,1
RQARCHSTAT,1
RQARCHTYPE,1
RQAUTH,1
RQCLIENT,1
RQCMODE,1
RQCOPIES,1
RQCRED,1
RQCRET,1
RQCRETIME,1
RQDELD,1
RQDELETED,1
RQDELRULE,1
RQDELTIME,1
RQDEST,1
RQDESTL,1
RQDIVISION,1
RQDOCTYPE,1
RQERR,1
RQERROR,1
RQFINAL,1
RQIDENT,1
RQISPROTOK,1
RQMODRULE,1
RQMODTIME,1
RQNONE,1
RQO1CLIE,1
RQO1NAME,1
RQO1PART,1
RQOWNER,1
RQPAGE,1
RQPAPER,1
RQPJDONE,1
RQPJHERR,1
RQPJREQ,1
RQPJSERR,1
RQPOSNAME,1
RQPRIO,1
RQPROC,1
RQREARULE,1
RQRECEIVER,1
RQSAPTITLE,1
RQSTATUS_V,1
RQSUCC,1
RQTELELAN,1
RQTELENUM,1
RQTELENUME,1
RQTITLE,1
RQUNXTITLE,1
RQWRITER,1
RQ_ACCESS,1
RQ_NO_ACCESS,1
RSNUM,1
RSPOS,1
RWBTR,1
SAISO,1
SALK3UM,1
SALK3UMS,1
SALK3_OLD,1
SALKV,1
SALKV_OLD,1
SAPCLIENT,1
SAPRELEASE,1
SCHEMA,1
SCOMNO,1
SCOMTP,1
SCOMYR,1
SDLDATE,1
SDLTIME,1
SECU,1
SECURITY,1
SEGFLD,1
SEGNUM,1
SENDER,1
SENDTIMEST,1
SEND_DATE,1
SEND_TIME,1
SERIAL,1
SERV,1
SERVERNAM,1
SERVICE_NAME,1
SERVICE_REPO,1
SERVICE_VERSION,1
SFTNAME,1
SIGN,1
SLGDUMMY2,2
SMRATIO,1
SNDART_L,1
SNDBC,1
SNDCP,1
SNDDR,1
SNDEX,1
SNDLAD,1
SNDPFC,1
SNDREQ,1
SNDRGUID,1
SNDSAD,1
SNDSCA,1
SNDSDF,1
SNDSLF,1
SNDSMN,1
SNDSNA,1
SNDYR,1
SOBSK,1
SOBSL,1
SOST_CNT,1
SOST_MSGID,1
SOST_MSGV1,1
SOURCE,1
SOURCE_INCLUDE,1
SOURCE_LINE,1
SOURCE_PROGRAM,1
SPERM,1
SPO_CNT,1
SPO_FREE_CNT,1
SPO_INUSE_CNT,1
SQLRELEASE,1
STACOD,1
STAMID,1
STAMNO,1
STAMQU,1
STARTDATE,3
STARTMODE,1
STARTPGID,1
STARTTIME,3
START_DATE,1
START_DT,1
START_TM,1
STATISTICS_ALERT,1
STATISTICS_DAYS,1
STATXT,1
STATYP,1
STAT_DATE,1
STAT_TIME,1
STD,1
STDAT,1
STDMES,1
STDVRS,1
STEPCOUNT,1
STEXT,1
STOFF,1
STORNO,1
STPRS_DIFF,1
