Parameters, #of Fields = 67						
Field	Description	Type	Length	Decimal	Data Element	Domain
ACT_CHNGNO	Document Number	CHAR	10	0	CD_CHNGNO	CDCHANGENR
BACKDAYS	Backdays		0	0		
CHANGENR	Document Number	CHAR	10	0	CDCHANGENR	CDCHANGENR
CHANGE_IND	Appl. object change-Header Lvl	CHAR	1	0	CDCHNGINDH	CDCHNGIND
CHANGE_IND_DESC	Domain name	CHAR	30	0	DOMNAME	DOMNAME
CHNGIND	Change Indicator-Row lvl	CHAR	1	0	CDCHNGIND	CDCHNGIND
CHNGIND_DESC	Domain name	CHAR	30	0	DOMNAME	DOMNAME
CONVERT_KEY	'X' - Decompose Key Field		0	0		
CUKY_NEW	CUKY	CUKY	5	0	CDCUKY	WAERS
CUKY_OLD	CUKY	CUKY	5	0	CDCUKY	WAERS
FIELD_DESC	Short Description	CHAR	60	0	AS4TEXT	AS4TEXT
FNAME	Field Name	CHAR	30	0	FIELDNAME	FDNAME
KEY1	Field Name	CHAR	30	0	FIELDNAME	FDNAME
KEY10	Field Name	CHAR	30	0	FIELDNAME	FDNAME
KEY10_DS	Short Description	CHAR	60	0	AS4TEXT	AS4TEXT
KEY10_V	Short Description	CHAR	60	0	AS4TEXT	AS4TEXT
KEY1_DS	Short Description	CHAR	60	0	AS4TEXT	AS4TEXT
KEY1_V	Short Description	CHAR	60	0	AS4TEXT	AS4TEXT
KEY2	Field Name	CHAR	30	0	FIELDNAME	FDNAME
KEY2_DS	Short Description	CHAR	60	0	AS4TEXT	AS4TEXT
KEY2_V	Short Description	CHAR	60	0	AS4TEXT	AS4TEXT
KEY3	Field Name	CHAR	30	0	FIELDNAME	FDNAME
KEY3_DS	Short Description	CHAR	60	0	AS4TEXT	AS4TEXT
KEY3_V	Short Description	CHAR	60	0	AS4TEXT	AS4TEXT
KEY4	Field Name	CHAR	30	0	FIELDNAME	FDNAME
KEY4_DS	Short Description	CHAR	60	0	AS4TEXT	AS4TEXT
KEY4_V	Short Description	CHAR	60	0	AS4TEXT	AS4TEXT
KEY5	Field Name	CHAR	30	0	FIELDNAME	FDNAME
KEY5_DS	Short Description	CHAR	60	0	AS4TEXT	AS4TEXT
KEY5_V	Short Description	CHAR	60	0	AS4TEXT	AS4TEXT
KEY6	Field Name	CHAR	30	0	FIELDNAME	FDNAME
KEY6_DS	Short Description	CHAR	60	0	AS4TEXT	AS4TEXT
KEY6_V	Short Description	CHAR	60	0	AS4TEXT	AS4TEXT
KEY7	Field Name	CHAR	30	0	FIELDNAME	FDNAME
KEY7_DS	Short Description	CHAR	60	0	AS4TEXT	AS4TEXT
KEY7_V	Short Description	CHAR	60	0	AS4TEXT	AS4TEXT
KEY8	Field Name	CHAR	30	0	FIELDNAME	FDNAME
KEY8_DS	Short Description	CHAR	60	0	AS4TEXT	AS4TEXT
KEY8_V	Short Description	CHAR	60	0	AS4TEXT	AS4TEXT
KEY9	Field Name	CHAR	30	0	FIELDNAME	FDNAME
KEY9_DS	Short Description	CHAR	60	0	AS4TEXT	AS4TEXT
KEY9_V	Short Description	CHAR	60	0	AS4TEXT	AS4TEXT
LANGU	Language for texts		0	0		
MANAGE_IN_UTC	'X' - Manage in UTC		0	0		
NAME_FIRST	First Name	CHAR	40	0	AD_NAMEFIR	TEXT40
NAME_LAST	Last Name	CHAR	40	0	AD_NAMELAS	TEXT40
NAME_TEXT	Full Name	CHAR	80	0	AD_NAMTEXT	TEXT80
OBJECTCLAS	Change doc. object	CHAR	15	0	CDOBJECTCL	OBJECTCL
OBJECTID	Vendor	CHAR	90	0	CDOBJECTV	CHAR90
OBJECT_DESC	Name	CHAR	35	0	NAME1_GP	NAME
PLANCHNGNR	Change number	CHAR	12	0	PLANCHNGNR	PLANCHNGNR
REPETITIVE	'X' - Repetitive Change	CHAR	1	0	/SKN/E_REPEAT	XFLAG
REPET_BACKDAYS	Repetitive Backdays		0	0		
TABKEY	Table Key	CHAR	70	0	CDTABKEY	CHAR70
TABNAME	Table Name	CHAR	30	0	TABNAME	AS4TAB
TAB_DESC	Short Description	CHAR	60	0	AS4TEXT	AS4TEXT
TCODE	Transaction Code	CHAR	20	0	CDTCODE	TCODE
TEXT_CASE	Text flag	CHAR	1	0	CDXFELD	XFELD
UDATE	Date	DATS	8	0	CDDATUM	DATUM
UDATE_REPET	Repetitive Date		0	0		
UNIT_NEW	Unit	UNIT	3	0	CDUNIT	CDUNIT
UNIT_OLD	Unit	UNIT	3	0	CDUNIT	CDUNIT
USERNAME	User	CHAR	12	0	CDUSERNAME	CHAR12
UTIME	Time	TIMS	6	0	CDUZEIT	UZEIT
VALUE_NEW	New value	CHAR	254	0	CDFLDVALN	FIELDVAL
VALUE_OLD	Old value	CHAR	254	0	CDFLDVALO	FIELDVAL
WAS_PLANND	Created from Planned	CHAR	1	0	CD_PLANNED	XFLAG
