Structure Name	Field Name	Description	Data Type	Component Type
/SKN/S_SW_10_06_MD_CHNG_LOG	ACT_CHNGNO	Change number of the document created by this change	CHAR(10)	CD_CHNGNO
/SKN/S_SW_10_06_MD_CHNG_LOG	CHANGENR	Document change number	CHAR(10)	CDCHANGENR
/SKN/S_SW_10_06_MD_CHNG_LOG	CHANGE_IND	Application object change type (U, I, E, D)	CHAR(1)	CDCHNGINDH
/SKN/S_SW_10_06_MD_CHNG_LOG	CHANGE_IND_DESC	Domain name	CHAR(30)	DOMNAME
/SKN/S_SW_10_06_MD_CHNG_LOG	CHNGIND	Change Type (U, I, S, D)	CHAR(1)	CDCHNGIND
/SKN/S_SW_10_06_MD_CHNG_LOG	CHNGIND_DESC	Domain name	CHAR(30)	DOMNAME
/SKN/S_SW_10_06_MD_CHNG_LOG	CUKY_NEW	Change documents, referenced currency	CUKY(5)	CDCUKY
/SKN/S_SW_10_06_MD_CHNG_LOG	CUKY_OLD	Change documents, referenced currency	CUKY(5)	CDCUKY
/SKN/S_SW_10_06_MD_CHNG_LOG	FIELD_DESC	Short Description of Repository Objects	CHAR(60)	AS4TEXT
/SKN/S_SW_10_06_MD_CHNG_LOG	FNAME	Field Name	CHAR(30)	FIELDNAME
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY1	Field Name	CHAR(30)	FIELDNAME
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY10	Field Name	CHAR(30)	FIELDNAME
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY10_DS	Short Description of Repository Objects	CHAR(60)	AS4TEXT
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY10_V	Short Description of Repository Objects	CHAR(60)	AS4TEXT
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY1_DS	Short Description of Repository Objects	CHAR(60)	AS4TEXT
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY1_V	Short Description of Repository Objects	CHAR(60)	AS4TEXT
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY2	Field Name	CHAR(30)	FIELDNAME
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY2_DS	Short Description of Repository Objects	CHAR(60)	AS4TEXT
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY2_V	Short Description of Repository Objects	CHAR(60)	AS4TEXT
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY3	Field Name	CHAR(30)	FIELDNAME
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY3_DS	Short Description of Repository Objects	CHAR(60)	AS4TEXT
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY3_V	Short Description of Repository Objects	CHAR(60)	AS4TEXT
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY4	Field Name	CHAR(30)	FIELDNAME
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY4_DS	Short Description of Repository Objects	CHAR(60)	AS4TEXT
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY4_V	Short Description of Repository Objects	CHAR(60)	AS4TEXT
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY5	Field Name	CHAR(30)	FIELDNAME
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY5_DS	Short Description of Repository Objects	CHAR(60)	AS4TEXT
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY5_V	Short Description of Repository Objects	CHAR(60)	AS4TEXT
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY6	Field Name	CHAR(30)	FIELDNAME
